7450-617031
OS REV: 1.05 Sensor Cal: 1669223133
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1758096720,+3.09,+26.058, +7.494,+0.956
1758096780,+3.09,+26.016, +7.587,+0.955
1758096840,+3.09,+25.982, +7.635,+0.955
1758096900,+3.09,+25.991, +7.645,+0.956
1758096960,+3.09,+25.974, +7.641,+0.955
1758097020,+3.09,+25.957, +7.648,+0.956
1758097080,+3.09,+25.949, +7.659,+0.955
1758097140,+3.10,+25.923, +7.669,+0.956
1758097200,+3.09,+25.923, +7.671,+0.956
1758097260,+3.10,+25.923, +7.663,+0.956
1758097320,+3.09,+25.923, +7.657,+0.956
1758097380,+3.10,+25.923, +7.651,+0.956
1758097440,+3.10,+25.932, +7.638,+0.955
1758097500,+3.09,+25.949, +7.631,+0.955
1758097560,+3.10,+25.932, +7.640,+0.956
1758097620,+3.09,+25.949, +7.633,+0.956
1758097680,+3.09,+25.957, +7.611,+0.955
1758097740,+3.09,+25.940, +7.585,+0.956
1758097800,+3.09,+25.940, +7.589,+0.956
1758097860,+3.09,+25.957, +7.570,+0.956
1758097920,+3.09,+25.949, +7.570,+0.956
1758097980,+3.09,+25.974, +7.557,+0.955
1758098040,+3.09,+25.974, +7.554,+0.956
1758098100,+3.09,+25.991, +7.549,+0.956
1758098160,+3.09,+25.991, +7.556,+0.956
1758098220,+3.09,+26.008, +7.548,+0.955
1758098280,+3.09,+26.008, +7.536,+0.955
1758098340,+3.09,+25.999, +7.528,+0.955
1758098400,+3.09,+25.999, +7.526,+0.955
1758098460,+3.09,+26.008, +7.526,+0.956
1758098520,+3.09,+26.016, +7.520,+0.956
1758098580,+3.09,+26.024, +7.521,+0.955
1758098640,+3.09,+26.024, +7.530,+0.956
1758098700,+3.09,+26.024, +7.535,+0.956
1758098760,+3.09,+26.024, +7.546,+0.956
1758098820,+3.09,+26.024, +7.546,+0.956
1758098880,+3.09,+26.050, +7.542,+0.956
1758098940,+3.09,+26.050, +7.549,+0.956
1758099000,+3.09,+26.050, +7.555,+0.956
1758099060,+3.09,+26.050, +7.542,+0.955
1758099120,+3.09,+26.058, +7.551,+0.956
1758099180,+3.09,+26.050, +7.552,+0.956
1758099240,+3.09,+26.067, +7.540,+0.955
1758099300,+3.09,+26.058, +7.546,+0.956
1758099360,+3.09,+26.050, +7.536,+0.955
1758099420,+3.09,+26.067, +7.537,+0.956
1758099480,+3.09,+26.075, +7.535,+0.956
1758099540,+3.09,+26.084, +7.532,+0.956
1758099600,+3.09,+26.067, +7.521,+0.955
1758099660,+3.09,+26.075, +7.520,+0.955
1758099720,+3.09,+26.084, +7.520,+0.955
1758099780,+3.09,+26.084, +7.519,+0.955
1758099840,+3.09,+26.058, +7.525,+0.955
1758099900,+3.09,+26.075, +7.520,+0.956
1758099960,+3.09,+26.067, +7.519,+0.955
1758100020,+3.09,+26.075, +7.518,+0.956
1758100080,+3.09,+26.075, +7.511,+0.955
1758100140,+3.09,+26.084, +7.513,+0.955
1758100200,+3.09,+26.092, +7.506,+0.955
1758100260,+3.09,+26.084, +7.508,+0.955
1758100320,+3.09,+26.084, +7.512,+0.955
1758100380,+3.09,+26.084, +7.514,+0.955
1758100440,+3.09,+26.109, +7.517,+0.956
1758100500,+3.09,+26.117, +7.504,+0.955
1758100560,+3.09,+26.126, +7.475,+0.955
1758100620,+3.09,+26.134, +7.423,+0.955
1758100680,+3.09,+26.160, +7.371,+0.955
1758100740,+3.09,+26.134, +7.328,+0.955
1758100800,+3.09,+26.143, +7.267,+0.955
1758100860,+3.09,+26.168, +7.202,+0.956
1758100920,+3.09,+26.185, +7.156,+0.955
1758100980,+3.09,+26.185, +7.135,+0.955
1758101040,+3.09,+26.210, +7.096,+0.955
1758101100,+3.09,+26.210, +7.067,+0.955
1758101160,+3.09,+26.236, +7.056,+0.956
1758101220,+3.09,+26.219, +7.066,+0.955
1758101280,+3.09,+26.236, +7.091,+0.955
1758101340,+3.09,+26.244, +7.144,+0.955
1758101400,+3.09,+26.261, +7.200,+0.955
1758101460,+3.09,+26.261, +7.245,+0.955
1758101520,+3.09,+26.278, +7.287,+0.955
1758101580,+3.09,+26.286, +7.309,+0.955
1758101640,+3.09,+26.320, +7.332,+0.956
1758101700,+3.09,+26.320, +7.343,+0.955
1758101760,+3.09,+26.337, +7.330,+0.955
1758101820,+3.09,+26.320, +7.340,+0.956
1758101880,+3.09,+26.354, +7.331,+0.956
1758101940,+3.09,+26.371, +7.317,+0.956
1758102000,+3.09,+26.379, +7.301,+0.956
1758102060,+3.09,+26.396, +7.276,+0.955
1758102120,+3.09,+26.388, +7.284,+0.955
1758102180,+3.09,+26.413, +7.300,+0.955
1758102240,+3.09,+26.405, +7.326,+0.955
1758102300,+3.09,+26.422, +7.544,+0.956
1758102360,+3.09,+26.413, +7.573,+0.955
1758102420,+3.09,+26.396, +7.436,+0.955
1758102480,+3.09,+26.320, +7.497,+0.955
1758102540,+3.10,+26.845, +7.377,+0.956
1758102600,+3.09,+27.456, +7.294,+0.957
1758102660,+3.09,+27.864, +7.279,+0.956
1758102720,+3.09,+28.060, +7.266,+0.956
1758102780,+3.09,+28.129, +7.263,+0.956
1758102840,+3.09,+28.129, +7.254,+0.956
1758102900,+3.09,+28.103, +7.262,+0.956
1758102960,+3.09,+28.035, +7.268,+0.956
1758103020,+3.09,+27.967, +7.273,+0.956
1758103080,+3.09,+27.907, +7.282,+0.956
1758103140,+3.09,+27.839, +7.301,+0.956
1758103200,+3.09,+27.754, +7.315,+0.956
1758103260,+3.09,+27.685, +7.321,+0.956
1758103320,+3.09,+27.643, +7.348,+0.956
1758103380,+3.09,+27.575, +7.210,+0.956
1758103440,+3.09,+27.515, +7.290,+0.955
1758103500,+3.09,+27.464, +7.306,+0.956
1758103560,+3.09,+27.396, +7.326,+0.955
1758103620,+3.09,+27.337, +7.302,+0.956
1758103680,+3.09,+27.277, +7.367,+0.956
1758103740,+3.09,+27.209, +7.371,+0.956
1758103800,+3.09,+27.184, +7.362,+0.955
1758103860,+3.09,+27.142, +7.376,+0.955
1758103920,+3.09,+27.116, +7.384,+0.955
1758103980,+3.09,+27.091, +7.390,+0.956
1758104040,+3.09,+27.091, +7.381,+0.955
1758104100,+3.09,+27.065, +7.397,+0.956
1758104160,+3.09,+27.057, +7.397,+0.956
1758104220,+3.09,+27.040, +7.401,+0.956
1758104280,+3.09,+27.031, +7.404,+0.956
1758104340,+3.09,+27.006, +7.406,+0.956
1758104400,+3.09,+26.989, +7.405,+0.955
1758104460,+3.09,+26.997, +7.405,+0.956
1758104520,+3.09,+26.980, +7.403,+0.955
1758104580,+3.09,+26.972, +7.411,+0.956
1758104640,+3.09,+26.963, +7.404,+0.955
1758104700,+3.09,+26.955, +7.410,+0.955
1758104760,+3.09,+26.946, +7.411,+0.956
1758104820,+3.09,+26.980, +7.405,+0.956
1758104880,+3.09,+26.938, +7.413,+0.955
1758104940,+3.09,+26.946, +7.407,+0.955
1758105000,+3.09,+26.930, +7.417,+0.956
1758105060,+3.09,+26.921, +7.410,+0.955
1758105120,+3.09,+26.913, +7.412,+0.955
1758105180,+3.09,+26.930, +7.410,+0.955
1758105240,+3.09,+26.913, +7.409,+0.955
1758105300,+3.09,+26.930, +7.414,+0.956
1758105360,+3.09,+26.896, +7.422,+0.956
1758105420,+3.09,+26.904, +7.411,+0.955
1758105480,+3.09,+26.904, +7.411,+0.955
1758105540,+3.09,+26.904, +7.414,+0.955
1758105600,+3.09,+26.896, +7.415,+0.955
1758105660,+3.09,+26.913, +7.416,+0.955
1758105720,+3.09,+26.904, +7.415,+0.955
1758105780,+3.09,+26.904, +7.413,+0.955
1758105840,+3.09,+26.913, +7.406,+0.955
1758105900,+3.09,+26.887, +7.422,+0.956
1758105960,+3.09,+26.896, +7.411,+0.955
1758106020,+3.09,+26.904, +7.405,+0.956
1758106080,+3.09,+26.896, +7.405,+0.955
1758106140,+3.09,+26.896, +7.405,+0.956
1758106200,+3.09,+26.887, +7.400,+0.955
1758106260,+3.09,+26.887, +7.397,+0.955
1758106320,+3.09,+26.896, +7.400,+0.955
1758106380,+3.09,+26.887, +7.406,+0.956
1758106440,+3.09,+26.887, +7.398,+0.955
1758106500,+3.09,+26.879, +7.398,+0.955
1758106560,+3.09,+26.879, +7.403,+0.955
1758106620,+3.09,+26.879, +7.396,+0.955
1758106680,+3.09,+26.887, +7.404,+0.956
1758106740,+3.09,+26.896, +7.396,+0.955
1758106800,+3.09,+26.896, +7.401,+0.955
1758106860,+3.09,+26.887, +7.403,+0.955
1758106920,+3.09,+26.896, +7.406,+0.956
1758106980,+3.09,+26.896, +7.396,+0.955
1758107040,+3.09,+26.896, +7.398,+0.955
1758107100,+3.09,+26.896, +7.401,+0.955
1758107160,+3.09,+26.904, +7.397,+0.955
1758107220,+3.09,+26.904, +7.401,+0.955
1758107280,+3.09,+26.904, +7.403,+0.955
1758107340,+3.09,+26.921, +7.386,+0.955
1758107400,+3.09,+26.913, +7.396,+0.955
1758107460,+3.09,+26.913, +7.396,+0.955
1758107520,+3.09,+26.913, +7.398,+0.955
1758107580,+3.09,+26.913, +7.404,+0.956
1758107640,+3.09,+26.930, +7.399,+0.955
1758107700,+3.09,+26.913, +7.402,+0.955
1758107760,+3.09,+26.904, +7.405,+0.955
1758107820,+3.09,+26.921, +7.393,+0.955
1758107880,+3.09,+26.938, +7.393,+0.955
1758107940,+3.09,+26.938, +7.393,+0.955
1758108000,+3.09,+26.938, +7.395,+0.955
1758108060,+3.09,+26.938, +7.400,+0.956
1758108120,+3.09,+26.938, +7.392,+0.955
1758108180,+3.09,+26.938, +7.398,+0.955
1758108240,+3.09,+26.938, +7.402,+0.956
1758108300,+3.09,+26.946, +7.396,+0.955
1758108360,+3.09,+26.946, +7.400,+0.955
1758108420,+3.09,+26.946, +7.394,+0.955
1758108480,+3.09,+26.980, +7.395,+0.956
1758108540,+3.09,+26.955, +7.394,+0.955
1758108600,+3.09,+26.963, +7.387,+0.955
1758108660,+3.09,+26.980, +7.391,+0.955
1758108720,+3.09,+26.963, +7.398,+0.956
1758108780,+3.09,+26.972, +7.392,+0.955
1758108840,+3.09,+26.989, +7.395,+0.956
1758108900,+3.09,+26.980, +7.396,+0.956
1758108960,+3.09,+26.980, +7.394,+0.955
1758109020,+3.09,+26.997, +7.388,+0.955
1758109080,+3.09,+26.997, +7.384,+0.955
1758109140,+3.09,+26.997, +7.388,+0.955
1758109200,+3.09,+27.006, +7.380,+0.955
1758109260,+3.09,+27.014, +7.383,+0.955
1758109320,+3.09,+27.014, +7.382,+0.955
1758109380,+3.09,+27.014, +7.395,+0.956
1758109440,+3.09,+27.023, +7.388,+0.955
1758109500,+3.09,+27.031, +7.386,+0.955
1758109560,+3.09,+27.014, +7.390,+0.955
1758109620,+3.09,+27.031, +7.392,+0.956
1758109680,+3.09,+27.023, +7.374,+0.955
1758109740,+3.09,+27.040, +7.364,+0.955
1758109800,+3.09,+27.040, +7.380,+0.955
1758109860,+3.09,+27.040, +7.353,+0.956
1758109920,+3.09,+27.040, +7.295,+0.955
1758109980,+3.09,+27.048, +7.294,+0.955
1758110040,+3.09,+27.065, +7.300,+0.956
1758110100,+3.09,+27.065, +7.298,+0.955
1758110160,+3.09,+27.057, +7.296,+0.955
1758110220,+3.09,+27.074, +7.295,+0.955
1758110280,+3.09,+27.065, +7.301,+0.955
1758110340,+3.09,+27.065, +7.320,+0.955
1758110400,+3.09,+27.091, +7.317,+0.955
1758110460,+3.09,+27.099, +7.372,+0.955
1758110520,+3.09,+27.116, +7.263,+0.955
1758110580,+3.09,+27.125, +7.389,+0.955
1758110640,+3.09,+27.116, +7.396,+0.955
1758110700,+3.09,+27.150, +7.382,+0.955
1758110760,+3.09,+27.167, +7.383,+0.955
1758110820,+3.09,+27.192, +7.385,+0.956
1758110880,+3.09,+27.192, +7.390,+0.956
1758110940,+3.09,+27.184, +7.384,+0.955
1758111000,+3.09,+27.192, +7.383,+0.955
1758111060,+3.09,+27.176, +7.389,+0.955
1758111120,+3.09,+27.176, +7.385,+0.955
1758111180,+3.09,+27.176, +7.394,+0.956
1758111240,+3.09,+27.184, +7.387,+0.955
1758111300,+3.09,+27.167, +7.390,+0.955
1758111360,+3.09,+27.167, +7.382,+0.955
1758111420,+3.09,+27.142, +7.390,+0.955
1758111480,+3.09,+27.133, +7.390,+0.955
1758111540,+3.09,+27.125, +7.396,+0.955
1758111600,+3.09,+27.133, +7.398,+0.956
1758111660,+3.09,+27.116, +7.387,+0.955
1758111720,+3.09,+27.099, +7.400,+0.955
1758111780,+3.09,+27.091, +7.400,+0.955
1758111840,+3.09,+27.099, +7.395,+0.955
1758111900,+3.09,+27.082, +7.398,+0.955
1758111960,+3.09,+27.065, +7.336,+0.955
1758112020,+3.09,+27.057, +7.347,+0.955
1758112080,+3.09,+27.057, +7.344,+0.955
1758112140,+3.09,+27.040, +7.275,+0.955
1758112200,+3.09,+27.040, +7.356,+0.955
1758112260,+3.09,+27.031, +7.403,+0.955
1758112320,+3.09,+27.057, +7.339,+0.955
1758112380,+3.09,+27.048, +7.339,+0.955
1758112440,+3.09,+27.065, +7.337,+0.955
1758112500,+3.09,+27.142, +7.319,+0.955
1758112560,+3.09,+27.303, +7.294,+0.955
1758112620,+3.09,+27.439, +7.271,+0.955
1758112680,+3.09,+27.507, +7.264,+0.955
1758112740,+3.09,+27.549, +7.254,+0.955
1758112800,+3.09,+27.566, +7.252,+0.955
1758112860,+3.09,+27.583, +7.252,+0.955
1758112920,+3.09,+27.592, +7.250,+0.955
1758112980,+3.09,+27.583, +7.256,+0.955
1758113040,+3.09,+27.592, +7.254,+0.955
1758113100,+3.09,+27.583, +7.262,+0.955
1758113160,+3.09,+27.558, +7.268,+0.955
1758113220,+3.09,+27.549, +7.268,+0.955
1758113280,+3.09,+27.524, +7.263,+0.955
1758113340,+3.09,+27.498, +7.275,+0.955
1758113400,+3.09,+27.456, +7.265,+0.954
1758113460,+3.09,+27.413, +7.410,+0.955
