Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1758101160,+2.97,+26.710, +8.289,+0.918
1758101220,+2.97,+26.727, +8.297,+0.918
1758101280,+2.97,+26.753, +8.299,+0.917
1758101340,+2.97,+26.778, +8.326,+0.918
1758101400,+2.97,+26.804, +8.337,+0.918
1758101460,+2.97,+26.846, +8.348,+0.918
1758101520,+2.97,+26.863, +8.345,+0.917
1758101580,+2.97,+26.880, +8.366,+0.917
1758101640,+2.97,+26.922, +8.383,+0.918
1758101700,+2.97,+26.956, +8.394,+0.917
1758101760,+2.97,+26.999, +8.393,+0.917
1758101820,+2.97,+26.999, +8.419,+0.918
1758101880,+2.97,+27.041, +8.428,+0.918
1758101940,+2.97,+27.049, +8.438,+0.918
1758102000,+2.97,+27.075, +8.443,+0.918
1758102060,+2.97,+27.075, +8.448,+0.918
1758102120,+2.97,+27.083, +8.461,+0.919
1758102180,+2.97,+27.092, +8.454,+0.919
1758102240,+2.97,+27.092, +8.462,+0.919
1758102300,+2.97,+27.075, +8.463,+0.917
1758102360,+2.97,+27.083, +8.462,+0.918
1758102420,+2.97,+27.058, +8.460,+0.918
1758102480,+2.97,+27.075, +8.466,+0.918
1758102540,+2.97,+27.058, +8.490,+0.918
1758102600,+2.97,+27.049, +8.501,+0.918
1758102660,+2.97,+27.049, +8.500,+0.917
1758102720,+2.97,+27.041, +8.519,+0.918
1758102780,+2.97,+27.049, +8.521,+0.918
1758102840,+2.97,+27.016, +8.038,+0.918
1758102900,+2.97,+26.999, +7.614,+0.915
1758102960,+2.96,+27.211, +7.580,+0.916
1758103020,+2.96,+27.313, +7.559,+0.917
1758103080,+2.96,+27.355, +7.562,+0.917
1758103140,+2.96,+27.389, +7.551,+0.916
1758103200,+2.96,+27.415, +7.555,+0.917
1758103260,+2.96,+27.423, +7.549,+0.917
1758103320,+2.96,+27.423, +7.558,+0.916
1758103380,+2.96,+27.440, +7.556,+0.916
1758103440,+2.96,+27.440, +7.557,+0.917
1758103500,+2.96,+27.432, +7.550,+0.917
1758103560,+2.96,+27.423, +7.559,+0.916
1758103620,+2.96,+27.440, +7.552,+0.917
1758103680,+2.96,+27.423, +7.555,+0.917
1758103740,+2.96,+27.406, +7.558,+0.916
1758103800,+2.96,+27.423, +7.550,+0.916
1758103860,+2.96,+27.415, +7.554,+0.917
1758103920,+2.96,+27.415, +7.553,+0.917
1758103980,+2.96,+27.415, +7.554,+0.917
1758104040,+2.96,+27.415, +7.547,+0.916
1758104100,+2.96,+27.415, +7.541,+0.916
1758104160,+2.96,+27.389, +7.564,+0.917
1758104220,+2.96,+27.415, +7.549,+0.917
1758104280,+2.96,+27.406, +7.553,+0.916
1758104340,+2.96,+27.415, +7.540,+0.916
1758104400,+2.96,+27.398, +7.547,+0.916
1758104460,+2.96,+27.398, +7.546,+0.916
1758104520,+2.96,+27.389, +7.566,+0.917
1758104580,+2.96,+27.389, +7.548,+0.916
1758104640,+2.96,+27.406, +7.549,+0.917
1758104700,+2.96,+27.381, +7.560,+0.917
1758104760,+2.96,+27.372, +7.560,+0.917
1758104820,+2.96,+27.389, +7.559,+0.917
1758104880,+2.96,+27.381, +7.558,+0.917
1758104940,+2.96,+27.372, +7.552,+0.917
1758105000,+2.96,+27.355, +7.561,+0.917
1758105060,+2.96,+27.364, +7.556,+0.917
1758105120,+2.96,+27.347, +7.560,+0.917
1758105180,+2.96,+27.355, +7.563,+0.917
1758105240,+2.96,+27.347, +7.553,+0.916
1758105300,+2.96,+27.330, +7.564,+0.917
1758105360,+2.96,+27.330, +7.554,+0.916
1758105420,+2.96,+27.321, +7.566,+0.917
1758105480,+2.96,+27.321, +7.562,+0.917
1758105540,+2.96,+27.304, +7.572,+0.917
1758105600,+2.96,+27.313, +7.564,+0.917
1758105660,+2.96,+27.296, +7.570,+0.917
1758105720,+2.96,+27.313, +7.564,+0.917
1758105780,+2.96,+27.304, +7.563,+0.917
1758105840,+2.96,+27.296, +7.571,+0.917
1758105900,+2.96,+27.279, +7.567,+0.917
1758105960,+2.96,+27.270, +7.576,+0.917
1758106020,+2.96,+27.279, +7.567,+0.917
1758106080,+2.96,+27.262, +7.568,+0.917
1758106140,+2.96,+27.253, +7.574,+0.917
1758106200,+2.96,+27.245, +7.582,+0.918
1758106260,+2.96,+27.228, +7.574,+0.918
1758106320,+2.96,+27.219, +7.570,+0.917
1758106380,+2.96,+27.219, +7.579,+0.918
1758106440,+2.96,+27.211, +7.576,+0.918
1758106500,+2.96,+27.202, +7.572,+0.917
1758106560,+2.96,+27.177, +7.582,+0.917
1758106620,+2.96,+27.185, +7.582,+0.918
1758106680,+2.96,+27.185, +7.578,+0.917
1758106740,+2.96,+27.185, +7.581,+0.917
1758106800,+2.96,+27.185, +7.573,+0.917
1758106860,+2.96,+27.177, +7.585,+0.918
1758106920,+2.96,+27.177, +7.572,+0.917
1758106980,+2.96,+27.177, +7.572,+0.917
1758107040,+2.96,+27.168, +7.580,+0.917
1758107100,+2.96,+27.160, +7.581,+0.917
1758107160,+2.96,+27.185, +7.578,+0.917
1758107220,+2.96,+27.177, +7.580,+0.917
1758107280,+2.96,+27.168, +7.579,+0.917
1758107340,+2.96,+27.151, +7.589,+0.918
1758107400,+2.96,+27.168, +7.584,+0.918
1758107460,+2.96,+27.151, +7.588,+0.918
1758107520,+2.96,+27.168, +7.579,+0.917
1758107580,+2.96,+27.177, +7.572,+0.917
1758107640,+2.96,+27.151, +7.580,+0.917
1758107700,+2.96,+27.160, +7.578,+0.917
1758107760,+2.96,+27.160, +7.585,+0.918
1758107820,+2.96,+27.160, +7.581,+0.917
1758107880,+2.96,+27.143, +7.586,+0.917
1758107940,+2.96,+27.151, +7.576,+0.917
1758108000,+2.96,+27.160, +7.575,+0.917
1758108060,+2.96,+27.151, +7.585,+0.917
1758108120,+2.96,+27.143, +7.589,+0.918
1758108180,+2.96,+27.160, +7.587,+0.918
1758108240,+2.96,+27.143, +7.573,+0.917
1758108300,+2.96,+27.151, +7.594,+0.918
1758108360,+2.96,+27.151, +7.579,+0.917
1758108420,+2.96,+27.160, +7.574,+0.917
1758108480,+2.96,+27.177, +7.582,+0.918
1758108540,+2.96,+27.151, +7.583,+0.917
1758108600,+2.96,+27.177, +7.582,+0.918
1758108660,+2.96,+27.177, +7.574,+0.917
1758108720,+2.96,+27.168, +7.582,+0.918
1758108780,+2.96,+27.168, +7.581,+0.917
1758108840,+2.96,+27.168, +7.582,+0.918
1758108900,+2.96,+27.168, +7.577,+0.917
1758108960,+2.96,+27.177, +7.582,+0.917
1758109020,+2.96,+27.168, +7.576,+0.917
1758109080,+2.96,+27.143, +7.581,+0.917
1758109140,+2.96,+27.168, +7.581,+0.917
1758109200,+2.96,+27.177, +7.586,+0.918
1758109260,+2.96,+27.177, +7.580,+0.917
1758109320,+2.96,+27.185, +7.584,+0.918
1758109380,+2.96,+27.185, +7.577,+0.917
1758109440,+2.96,+27.177, +7.585,+0.918
1758109500,+2.96,+27.177, +7.576,+0.917
1758109560,+2.96,+27.185, +7.576,+0.917
1758109620,+2.96,+27.185, +7.576,+0.917
1758109680,+2.96,+27.168, +7.573,+0.917
1758109740,+2.96,+27.202, +7.569,+0.917
1758109800,+2.96,+27.185, +7.570,+0.917
1758109860,+2.96,+27.194, +7.563,+0.917
1758109920,+2.96,+27.185, +7.569,+0.917
1758109980,+2.96,+27.194, +7.565,+0.917
1758110040,+2.96,+27.194, +7.572,+0.917
1758110100,+2.96,+27.194, +7.580,+0.917
1758110160,+2.96,+27.211, +7.557,+0.917
1758110220,+2.96,+27.194, +7.564,+0.917
1758110280,+2.96,+27.219, +7.575,+0.917
1758110340,+2.96,+27.211, +7.575,+0.917
1758110400,+2.96,+27.228, +7.568,+0.917
1758110460,+2.96,+27.211, +7.582,+0.917
1758110520,+2.96,+27.219, +7.551,+0.917
1758110580,+2.96,+27.245, +7.596,+0.918
1758110640,+2.96,+27.245, +7.592,+0.918
1758110700,+2.96,+27.245, +7.578,+0.917
1758110760,+2.96,+27.262, +7.584,+0.918
1758110820,+2.96,+27.296, +7.580,+0.918
1758110880,+2.96,+27.279, +7.585,+0.918
1758110940,+2.96,+27.296, +7.578,+0.918
1758111000,+2.96,+27.296, +7.588,+0.918
1758111060,+2.96,+27.279, +7.588,+0.918
1758111120,+2.96,+27.279, +7.586,+0.918
1758111180,+2.96,+27.279, +7.581,+0.917
1758111240,+2.96,+27.287, +7.590,+0.918
1758111300,+2.96,+27.262, +7.573,+0.917
1758111360,+2.96,+27.270, +7.581,+0.918
1758111420,+2.96,+27.253, +7.585,+0.917
1758111480,+2.96,+27.245, +7.589,+0.918
1758111540,+2.96,+27.253, +7.586,+0.918
1758111600,+2.96,+27.236, +7.588,+0.918
1758111660,+2.96,+27.219, +7.594,+0.918
1758111720,+2.96,+27.211, +7.596,+0.918
1758111780,+2.96,+27.219, +7.590,+0.918
1758111840,+2.96,+27.202, +7.590,+0.917
1758111900,+2.96,+27.194, +7.592,+0.918
1758111960,+2.96,+27.185, +7.586,+0.918
1758112020,+2.96,+27.177, +7.587,+0.917
1758112080,+2.96,+27.177, +7.592,+0.918
1758112140,+2.96,+27.168, +7.559,+0.917
1758112200,+2.96,+27.177, +7.616,+0.917
1758112260,+2.96,+27.151, +7.601,+0.917
1758112320,+2.96,+27.109, +7.607,+0.917
1758112380,+2.97,+26.897, +7.623,+0.917
1758112440,+2.97,+26.888, +7.615,+0.917
1758112500,+2.97,+26.922, +7.608,+0.916
1758112560,+2.97,+26.965, +7.602,+0.916
1758112620,+2.97,+26.999, +7.587,+0.916
1758112680,+2.96,+27.109, +7.566,+0.916
1758112740,+2.96,+27.168, +7.571,+0.917
1758112800,+2.96,+27.211, +7.558,+0.916
1758112860,+2.96,+27.211, +7.564,+0.917
1758112920,+2.96,+27.194, +7.564,+0.916
1758112980,+2.96,+27.219, +7.559,+0.916
1758113040,+2.96,+27.245, +7.555,+0.916
1758113100,+2.96,+27.296, +7.554,+0.917
